entre, between
oeil, eye
pierre, stone
travers, through
art, art
sommes, are
mouvement, movement
tel, such
crois, think
chacun, each
parmi, among
donne, gives
telle, such
dernier, last
rapport, report
conditions, terms
famille, family
ayant, with
lorsqu', when
manière, way
chef, chief
font, are
service, service
pied, foot
type, type
juste, just
noir, black
grandes, large
route, road
enseignement, teaching
donné, given
plan, plan
cause, cause
passe, pass
rouge, red
tandis, while
loi, law
belle, fine
aime, like
année, year
objet, object
gros, large
train, train
certaines, some
moyen, average
contraire, contrary
problème, problem
malgré, despite
voit, sees
pourrait, could
feu, fire
ensuite, then
plein, full
simple, simple
société, company
vais, will
ait, has
grâce, grace
demi, half
valeur, value
pieds, feet
production, production
bouche, mouth
venait, had
agit, is
trouver, find
groupe, group
présent, present
certain, some
intérieur, inside
eût, had
jeunes, young people
vieille, old woman
gauche, left
aurais, would have
vois, see
livre, book
sang, blood
argent, money
semblait, seemed
soudain, suddenly
blanc, white
moyens, means
vent, wind
début, beginning
existence, existence
technique, technical
cheveux, hair
bruit, noise
rire, laugh
vivre, live
six, six
chemin, path
française, French
travaux, work
droite, right
envie, desire
dernière, last
importance, importance
développement, development
situation, situation
peux, can
julien, Julian
regarde, looks
conseil, council
sol, ground
partout, everywhere
demanda, asked
intérêt, interest
présence, presence
fonction, function
générale, General
entendu, heard
savait, knew
mise, setting
lequel, which
nationale, National
pièce, room
image, image
caractère, character
réalité, reality
laisser, let
voulait, wanted
sourire, smile
rendre, render
midi, noon
plaisir, pleasure
dehors, out
formes, forms
puisque, as
domaine, field
musique, music
fais, do
gouvernement, government
salle, room
venir, come
nouvelles, news
direction, direction
prend, takes
groupes, groups
olivier, olive
pensée, thought
mille, thousand
longue, long
garde, guard
particulier, particular
marie, Mary
petites, small
théorie, theory
comprendre, understand
sujet, topic
voiture, car
seconde, second
vide, empty
suivant, following
matière, material
parle, speaks
vérité, truth
ombre, shadow
public, public
centre, center
laisse, leash
henri, Henry
vos, your
libre, free
bord, edge
arrive, arrives
pense, think
genre, kind
dos, back
principe, principle
forces, strengths
marche, walking
espace, space
madame, Mrs.
niveau, level
existe, are
problèmes, problems
coups, blows
importe, matter
penser, think
services, services
aussitôt, immediately
voulu, desired
effort, effort
soi, self
conscience, consciousness
chercher, search
filles, girls
huit, eight
recherche, search
appelle, calls
cent, cent
verre, glass
premiers, first
liberté, freedom
croire, believe
paraît, seems
classe, class
bientôt, soon
simplement, simply
arrière, back
fenêtre, window
maître, master
parents, parents
parti, party
pauvre, poor
courant, current
connaissance, knowledge
difficile, difficult
passage, passage
fût, barrel
aura, will
origine, origin
furent, were
attention, attention
doivent, must
retour, return
faits, facts
sociale, Social
froid, cold
divers, various
espèce, species
nécessaire, necessary
entendre, hear
lèvres, lips
organisation, organization
peau, skin
quant, as
affaire, business
marché, market
quelqu', someone
guère, little
europe, Europe
progrès, progress
accord, agreement
roi, king
langue, language
outre, also
garçon, boy
blanche, white
tenir, hold
permet, allows
activité, activity
idées, ideas
avenir, future
voie, way
compris, including
amis, friends
membres, Member
champ, field
livres, books
nord, north
avions, had
signe, sign
demander, request
certaine, some
geste, gesture
expérience, experience
période, period
mme, Mrs.
bonheur, happiness
produit, product
ligne, line
mur, wall
diverses, various
fer, iron
techniques, Technical
papier, paper
départ, departure
souvenir, memory
doigts, fingers
couleur, color
perdu, lost
frère, brother
cour, court
faisant, by
large, wide
mit, mit
lettres, letters
bleu, blue
titre, title
goût, taste
lentement, slowly
tellement, so
lettre, letter
venu, come
demain, tomorrow
voyait, saw
vont, will
vit, lives
attendre, expect
ministre, minister
sortir, exit
bureau, office
armée, army
affaires, business
tenait, was
but, goal
relations, relationship
montre, watch
soient, are
fini, finished
café, coffee
nombreux, numerous
nez, nose
jambes, legs
coin, corner
aide, aid
vis, screw
regarder, watch
second, second
lors, then
plupart, Most
questions, issues
ami, friend
trouvé, found
assemblée, assembly
tient, is
jouer, play
tes, your
voici, here is
front, front
entrée, entry
base, base
avance, advance
arbres, trees
structure, structure
hasard, chance
premières, first
devient, becomes
résultats, results
impression, printing
unis, united
impossible, impossible
haute, high
assis, seated
faites, do
masse, mass
emploi, employment
soeur, sister
prit, took
poids, weight
troisième, third
science, science
pleine, Full
formation, training
différents, different
allons, will
puisse, can
propos, About
murs, walls
mémoire, memory
allez, will
anglais, English
noire, Black
connu, known
scène, scene
présente, this
expression, expression
restait, remained
puissance, power
odeur, odor
sentiment, feeling
moitié, half
sort, fate
hors, out
connaître, know
trouvait, was
debout, standing
fonctions, functions
national, national
devenir, become
jardin, garden
journal, newspaper
simon, Simon
terme, term
double, double
unité, unit
uns, one
millions, million
régime, regime
occasion, opportunity
sentait, felt
notamment, especially
moindre, lesser
lendemain, next day
vitesse, speed
journée, day
minutes, minutes
met, is
physique, physical
pièces, coins
méthode, method
points, points
objets, objects
louis, louis
différentes, different
important, important
position, position
deuxième, second
particulièrement, particularly
président, president
propres, own
administration, administration
joie, joy
seuls, only
recherches, research
cesse, ceases
prise, taking
désir, desire
delà, Beyond
pratique, practice
choix, choice
mourir, die
produits, products
hôtel, hotel
nouveaux, new
parlait, spoke
heureux, happy
fleurs, flowers
davantage, further
exactement, exactly
malade, ill
jacques, Jacques
faite, made
seront, will
rester, stay
trente, thirty
industrie, industry
village, village
chaleur, heat
désormais, henceforth
volonté, will
figure, figure
sept, seven
personnel, staff
afin, to
tôt, early
rapports, relations
mètres, meters
charles, charles
retrouver, find
machine, machine
maman, mom
types, Types
sinon, otherwise
tableau, table
faudrait, be
clair, clear
révolution, revolution
regardait, looked
succès, success
région, region
culture, culture
commun, common
humaine, human
somme, sum
influence, influence
sauf, except
maisons, houses
voyage, travel
peuple, people
paix, peace
analyse, analysis
joue, cheek
article, article
série, series
entreprise, company
habitude, habit
combien, how many
entrer, enter
manger, eat
savez, know
neuf, nine
rêve, dream
termes, terms
mauvais, bad
aspect, aspect
faible, low
véritable, true
chance, chance
certes, certainly
création, creation
qualité, quality
surface, surface
autorité, authority
cheval, horse
tomber, fall
humain, human
tirer, draw
rapidement, quickly
tiens, like
demandé, required
laissé, left
images, pictures
phénomènes, phenomena
lignes, lines
notion, notion
sociétés, companies
ferme, farm
lire, read
apparaît, appears
ventre, belly
mouvements, movements
parlé, spoken
population, population
puisqu', since '
allemagne, Germany
auprès, with
rencontre, meeting
cher, expensive
angleterre, England
lois, laws
secret, secret
langage, language
court, short
facile, easy
noms, names
foi, faith
frais, costs
campagne, campaign
absence, absence
comité, committee
commence, begins
calme, calm
condition, condition
cadre, framework
faisaient, were
personnes, people
donnait, gave
ancien, former
gris, gray
tels, such
commission, commission
suivre, follow
viens, just
social, social
information, information
durée, duration
usage, use
raisons, reasons
moderne, modern
méthodes, methods
entreprises, Business
rues, streets
sud, south
répondre, answer
forêt, forest
contrôle, control
unique, single
regarda, looked
paul, paul
devenu, become
obtenir, get
environ, about
classes, classes
vas, go
passait, passed
doucement, gently
univers, universe
brusquement, abruptly
dents, teeth
théâtre, theater
généralement, generally
parole, speech
dame, lady
perdre, lose
hiver, winter
naturellement, naturally
enfance, childhood
faute, fault
avis, notice
toutefois, however
morts, dead
ceci, this
solution, solution
mari, husband
expliquer, explain
pluie, rain
quinze, fifteen
métier, job
chien, dog
assurer, ensure
paroles, words
autrefois, once
rapide, fast
voulez, want
escalier, staircase
larmes, tears
francs, francs
maladie, disease
pose, pose
complètement, completely
militaire, military
dites, say
république, republic
semaine, week
construction, construction
servir, serve
aimait, loved
savais, knew
cuisine, kitchen
charge, load
directement, directly
revient, back
sommeil, sleep
rose, pink
contact, contact
naissance, birth
degré, degree
porter, wear
souffle, breath
sac, bag
derniers, last
arrivée, arrival
parfaitement, perfectly
honneur, honor
philippe, philippe
dessous, underneath
régions, regions
distance, distance
réponse, response
foule, crowd
immense, immense
attendait, expected
montrer, show
forte, strong
arrivé, arrived
tantôt, sometimes
fil, thread
règles, rules
publique, Public
manque, lack
noirs, black
fou, crazy
endroit, place
dernières, last
confiance, confidence
proche, close
opérations, operations
faux, false
mode, mode
suffit, enough
permis, allowed
robe, dress
résistance, resistance
appel, call
nombreuses, many
oncle, uncle
feuilles, leaves
vin, wine
oreille, ear
cru, raw
jeunesse, youth
auraient, would have
hier, yesterday
arbre, tree
jeux, games
continue, continues
commerce, trade
moteur, engine
cou, neck
paraissait, seemed
ouvre, opens
victoire, victory
politiques, policies
phénomène, phenomenon
ouvert, open
cartes, cards
police, police
prenait, took
joseph, joseph
armes, arms
côte, coast
connais, know
veille, eve
lesquels, which
mesures, steps
matériel, equipment
supérieur, top
gestes, gestures
conduit, pipe
mécanique, mechanical
auteur, author
décision, decision
besoins, needs
empire, empire
beauté, beauty
vert, green
pain, bread
longues, long
anciens, old
ouverte, open
taille, size
capable, capable
commune, town
portait, was
différence, difference
papa, dad
siècles, centuries
villes, cities
jaune, yellow
cherche, seeks
arriver, arrive
terrain, field
xixe, nineteenth
londres, London
essentiel, essential
risque, risk
grave, serious
espoir, hope
sable, sand
autrement, otherwise
lesquelles, which
chaud, hot
publics, public
disant, saying
date, date
sciences, Science
telles, such
appelait, called
couleurs, colors
arrête, stop
sent, feels
pensait, thought
règle, rule
compagnie, company
seraient, would be
vivant, living
vouloir, will
concerne, for
atteint, reached
sécurité, security
justement, exactly
champs, fields
téléphone, phone
connaît, knows
actuellement, currently
robert, robert
importante, important
ouvrir, open
reconnaître, recognize
tombe, grave
viennent, just
professeur, professor
extrême, extreme
difficultés, difficulties
leva, up
appris, learned
tonnes, tons
médecin, doctor
pont, bridge
application, application
pression, pressure
dois, have
cents, cents
durant, during
portée, range
opération, operation
sociales, Social
genoux, knee
naturel, natural
sortie, output
résultat, result
boîte, box
pouvaient, could
examen, review
pouvais, could
chair, flesh
nécessité, need
souvenirs, memories
poche, pocket
entier, whole
poste, post
vraie, true
machines, machinery
hauteur, height
auquel, which
jusque, up
texte, text
afrique, Africa
monter, mount
pierres, stones
sein, breast
phrase, sentence
patron, boss
voulais, wanted
port, port
comprends, understand
cinquante, fifty
attitude, attitude
sombre, dark
croix, cross
animaux, animals
voudrais, would want
basse, low
effets, effects
projet, project
extérieur, outside
dur, hard
bête, beast
boire, drink
comprend, includes
classique, classical
chacune, each
parties, parts
entend, mean
acte, act
pensé, thought
revenu, income
signes, signs
portes, doors
finalement, finally
oublier, forget
style, style
limite, limit
pouvoirs, powers
gueule, mouth
vacances, holiday
répondit, answered
amérique, America
tenu, held
pointe, tip
données, data
concours, contest
valeurs, values
scientifique, scientific
moyenne, average
formule, formula
docteur, doctor
merci, thank you
poser, pose
tante, aunt
blancs, whites
vaste, wide
directeur, director
nul, no
allemands, German
source, source
caractères, characters
température, temperature
passant, from
total, total
semaines, weeks
principes, principles
arrivait, could
presse, press
modèle, model
oeuvres, works
branches, branches
prince, prince
défense, defense
découverte, discovery
décret, decree
quartier, neighborhood
traitement, treatment
roman, novel
justice, justice
entière, full
aimer, love
traits, features
droits, rights
absolument, absolutely
poitrine, chest
palais, palace
lutte, fight
gaz, gas
morale, morals
bref, brief
moments, times
herbe, grass
propriétés, properties
peinture, painting
arrêter, stop
journaux, newspapers
drôle, funny
vague, wave
pourra, can
pages, pages
dirait, would say
vint, came
dimanche, Sunday
vaut, is
saurait, not
sentir, feel
agissait, was
atteindre, achieve
critique, critical
triste, sad
visite, visit
douleur, pain
quelquefois, sometimes
constitue, is
rend, makes
propriété, property
grosse, big
maîtres, Masters
historique, historical
lève, up
voyez, see
revenir, return
animal, animal
expériences, experiences
sociologie, sociology
ressources, resources
morte, dead
nation, nation
devoir, duty
chapitre, chapter
venue, arrival
ooo, ooo
ennemi, enemy
rouges, red
meilleur, best
entièrement, entirely
limites, limitations
changer, change
totale, Total
mariage, marriage
lune, moon
carte, map
surprise, surprise
pareil, such
certainement, definitely
précisément, precisely
gorge, throat
capitaine, captain
oublié, forgotten
attend, expected
arrêté, arrested
appareil, device
colère, anger
nicolas, Nicolas
réserve, reserve
devrait, should
immobile, immobile
beaux, beautiful
explique, explains
eaux, water
commencé, started
programme, program
permettre, allow
nécessaires, necessary
dormir, sleep
quitter, leave
devaient, were
quarante, forty
reprendre, resume
portant, with
monte, up
efforts, efforts
fonds, funds
décidé, decided
conception, design
composition, composition
circonstances, circumstances
réel, real
page, page
léger, light
allaient, were
aimé, loved
croissance, growth
santé, health
chevaux, horses
logique, logic
italie, Italy
mauvaise, bad
fête, festival
posé, laid
roger, roger
radio, radio
littérature, literature
destin, fate
croit, believes
claire, clear
oreilles, ears
imagination, imagination
connaissait, knew
fruits, fruits
sourit, smiles
ordres, orders
tire, draws
appeler, call
changé, changed
immédiatement, immediately
donnée, given
tourne, turns
retrouve, found
don, gift
danse, dance
rares, rare
merde, shit
dedans, in
constitution, constitution
glace, ice
dîner, dinner
oiseaux, birds
zone, area
offre, offer
territoire, territory
spectacle, show
salon, lounge
bonnes, good
tâche, task
reprit, said
apprendre, learn
passion, passion
ouvriers, workers
simples, simple
thomas, thomas
garçons, boys
empêcher, prevent
poussière, dust
rendu, made
toile, canvas
chefs, Heads
côtés, sides
bons, good
frères, brethren
travailler, work
individu, individual
faudra, will
cris, shouting
supérieure, top
demeure, residence
david, david
comte, count
allais, would go
relation, relation
entends, hear
lieux, places
fenêtres, windows
union, union
sainte, holy
reçu, received
ancienne, old
pur, pure
centres, centers
intérêts, interests
fonctionnement, operation
chaise, chair
apparition, appearance
fera, will
activités, activities
partis, parties
pure, clean
belles, beautiful
sérieux, serious
note, note
génie, genius
garder, keep
neige, snow
preuve, proof
rome, Rome
consommation, consumption
ouvrage, work
chargé, loaded
tend, tends
honte, shame
attendant, Pending
souci, care
longueur, length
donnent, give
marcher, walk
trou, hole
cinéma, cinema
volume, volume
représente, is
montré, shown
possibilité, possibility
maximum, maximum
gare, station
ouest, west
maurice, maurice
imaginer, imagine
quantité, quantity
nil, Nile
profit, profit
kilomètres, km
siège, seat
plat, flat
tendance, trend
religion, religion
salut, salvation
bataille, battle
espèces, cash
antoine, antoine
malheur, misfortune
ferait, would make
considérer, consider
civilisation, civilization
conversation, conversation
hypothèse, hypothesis
unités, units
longs, long
douce, fresh
rythme, rhythm
légèrement, slightly
laissait, left
essentiellement, essentially
doigt, finger
disparu, missing
catégories, categories
repas, meal
fatigue, fatigue
taux, rate
considérable, considerable
tendre, tender
soldats, soldiers
faim, hunger
solitude, solitude
utilisation, use
tenant, taking
disposition, disposal
dépenses, spending
systèmes, systems
horizon, horizon
lever, lift
consiste, is
finit, ends
tourner, turn
cri, cry
complexe, complex
gagner, win
coupe, cut
anne, anne
regardant, Looking
militaires, military
arrêta, stopped
crise, crisis
voyais, saw
sujets, topics
château, castle
chaîne, chain
riche, rich
décor, decor
louise, louise
lecture, reading
hein, eh
chasse, hunting
prêt, loan
recevoir, receive
observation, observation
facteurs, factors
caisse, box
revoir, revise
fallu, had
cessé, ceased
passa, passed
angle, angle
lourd, heavy
néanmoins, however
sensible, sensitive
lait, milk
dure, hard
troupes, troops
sert, is
relativement, relatively
traité, treaty
tas, heap
opinion, opinion
voitures, cars
conduite, conduct
sec, dry
aider, help
psychologie, psychology
profonde, deep
allemand, German
devenait, became
courage, courage
douze, twelve
ouvrit, opened
suivi, followed
faveur, favor
mission, mission
tranquille, quiet
terrible, terrible
vêtements, clothing
nulle, no
définition, definition
pauvres, poor
appartement, apartment
montagne, mountain
sûrement, surely
répond, responds
dispositions, provisions
adresse, address
réaction, reaction
fauteuil, chair
créer, create
croyait, believed
devenue, become
sociaux, social
largement, widely
capital, capital
découvrir, discover
centrale, Central
compter, count
discours, speech
plans, Plans
documents, Documents
cercle, circle
bande, band
russe, Russian
officiers, officers
mettait, put
ajouta, added
tuer, kill
camp, camp
printemps, spring
pire, worst
ordinaire, ordinary
fixe, fixed
marque, mark
conséquences, consequences
comporte, has
profond, deep
intention, intention
normal, normal
nations, nations
entendait, heard
cuir, leather
ben, ben
françaises, French
précis, accurate
calcul, calculation
intelligence, intelligence
atmosphère, atmosphere
courir, run
rendez, appointment
dimensions, dimensions
rentrer, return
proprement, properly
cadres, frameworks
américains, U.S.
réaliser, achieve
demandait, asked
amitié, friendship
exploitation, operation
combat, combat
approche, approach
toucher, touch
précise, accurate
course, race
soin, care
sentais, felt
lampe, lamp
sortit, out
permettent, can
lourde, heavy
chapeau, hat
venaient, were
doux, sweet
réussi, successful
facilement, easily
détails, details
plage, beach
aient, have
exécution, execution
bêtes, animals
possède, has
transport, transport
souviens, remember
serais, would be
poésie, poetry
philosophie, philosophy
liaison, link
jadis, once
quelles, what
commençait, began
bateau, boat
couloir, corridor
visages, faces
libération, release
changement, change
trouvent, are
mademoiselle, miss
vagues, waves
matières, Contents
gloire, glory
juin, June
vécu, lived
finir, finish
creux, hollow
choisi, chosen
rayons, rays
gaulle, gaulle
désert, desert
constituent, are
utiliser, use
parut, seemed
structures, structures
rappelle, reminds
possibilités, potential
détail, detail
ministère, ministry
bretagne, Brittany
processus, process
lambert, lambert
descendre, descend
minute, minute
répartition, distribution
marine, navy
fasse, do
poète, poet
monnaie, currency
angoisse, anxiety
juge, judge
complète, complete
particulière, special
ajouter, add
joues, cheeks
violence, violence
danger, danger
convient, appropriate
explication, explanation
histoires, stories
textes, texts
voies, tract
revanche, revenge
cigarette, cigarette
pouvons, can
aventure, adventure
artiste, artist
vieilles, old
précision, precision
sale, dirty
nuits, nights
présenter, present
essayer, try
réduit, reduced
tradition, tradition
appelé, called
resté, remained
têtes, heads
personnages, characters
multiples, multiple
tapis, carpet
paysage, landscape
mai, May
juillet, July
projets, projects
prises, taken
secteur, sector
prends, take
numéro, number
inutile, unnecessary
importants, important
sentiments, feelings
américain, American
personnage, character
curieux, curious
institutions, institutions
douceur, sweetness
quart, quarter
difficulté, difficulty
allure, appearance
coucher, sleep
contenu, contents
pensa, thought
métal, metal
fous, crazy
fabrication, manufacturing
donnant, giving
occuper, occupy
rare, rare
indispensable, essential
extrêmement, extremely
communauté, community
attente, waiting
agents, agents
procédé, process
communication, communication
claude, claude
généraux, general
nuages, clouds
libres, free
suit, follows
erreur, error
couche, layer
essence, gasoline
vertu, virtue
tort, wrong
soumis, subject
laissant, leaving
correspondant, corresponding
modernes, modern
bruits, noise
asseoir, seat
actions, stock
actes, actions
apparence, appearance
jeter, throw
prison, prison
payer, pay
disais, said
chemise, shirt
arrêt, stop
soviétique, Soviet
soixante, sixty
mince, thin
trait, trait
cité, cited
individus, individuals
discipline, discipline
définir, define
chiffres, figures
aspects, aspects
naturelle, natural
bouteille, bottle
probablement, probably
auteurs, authors
respect, respect
déjeuner, lunch
peuples, people
heureuse, happy
restent, remain
sorti, out
grandeur, size
assise, Seat
vif, bright
importantes, important
concurrence, competition
victor, victor
vive, RAM
suppose, assumes
majorité, majority
humanité, humanity
agir, act
rang, rank
profondément, deeply
organismes, agencies
connaissances, knowledge
regards, looks
film, film
choisir, choose
terres, land
rigueur, rigor
interprétation, interpretation
août, August
quels, what
familles, families
tournant, turning
longuement, long
ondes, waves
noires, black
mondiale, World
trouva, found
signification, meaning
surpris, surprised
porté, focused
représentant, representative
prenant, taking
exercice, exercise
suivante, Next
meubles, furniture
tiré, drawn
instants, moments
reine, queen
liste, list
chemins, paths
pattes, legs
nettement, clearly
blanches, white
routes, roads
pratiquement, practically
papiers, papers
hôpital, hospital
distinguer, distinguish
con, con
utile, useful
pousse, shoot
pâle, pale
dépend, depends
plateau, plateau
miroir, mirror
imagine, imagine
fumée, smoke
trottoir, sidewalk
secondes, second
froide, Cold
dépit, spite
division, division
préparer, prepare
comportement, behavior
seules, only
put, could
seuil, threshold
laissa, left
héros, hero
cul, ass
unes, one
représentation, representation
instrument, instrument
agricole, agricultural
repris, back
orient, east
navires, Ships
roses, roses
oiseau, bird
jambe, leg
espagne, Spain
chute, fall
correspond, corresponds
professeurs, teachers
pensées, thoughts
lunettes, glasses
extraordinaire, extraordinary
change, exchange
actuelle, current
sortes, kinds
intervention, intervention
volontiers, willingly
morceau, piece
georges, georges
représentants, Representatives
repos, rest
nationales, national
esprits, minds
cha, each
semblent, seem
manteau, mantle
apparaître, appear
curiosité, curiosity
possibles, possible
voyons, see
uirginie, uirginie
urganes, urganes
venus, from
capacité, capacity
aube, dawn
grosses, large
alla, went
professionnelle, Professional
prennent, take
opposition, opposition
horreur, horror
folie, madness
attends, expect
remettre, return
carrière, career
britannique, British
section, section
russie, Russia
meilleure, best
agriculture, agriculture
fortune, fortune
conséquence, consequence
préparation, preparation
pourrais, could
commandant, commander
seigneur, lord
organisme, body
raconter, tell
envers, to
cellule, cell
auxquels, which
enquête, survey
pensais, thought
camarades, comrades
privé, private
attaque, attack
revint, returned
abri, shelter
retard, delay
populaire, popular
informations, data
réseau, network
catégorie, category
crainte, fear
central, central
transformation, transformation
plaît, please
exemples, Examples
rêves, dreams
liquide, liquid
acheter, buy
vapeur, steam
mystère, mystery
feuille, sheet
milliers, thousands
alliés, allies
ajoute, adds
rejoindre, rejoin
tendresse, tenderness
normale, normal
battre, beat
occupe, occupies
folle, madwoman
riches, rich
quitté, left
procédés, processes
biens, property
plantes, plants
humains, human
touche, key
pascal, pascal
décisions, decisions
communes, common
acide, acid
pourraient, could
pitié, pity
perspective, perspective
offrir, offer
croyez, Believe
chambres, rooms
avion, airplane
uniforme, uniform
répondu, answered
onde, wave
complet, complete
sûre, safe
maîtresse, mistress
hautes, high
chiens, dogs
glisser, slip
solide, solid
sentit, felt
augmentation, increase
inconnu, unknown
couvert, covered
réflexion, reflection
paquet, package
veulent, want
paraître, appear
conduire, lead
voisins, neighbors
pratiques, practices
malheureux, unfortunate
avantage, advantage
légère, slight
disent, say
assure, ensures
prête, ready
exprimer, express
pleurer, cry
inverse, reverse
heureusement, fortunately
conseils, advice
retourne, returns
rarement, rarely
découvert, discovered
verres, glasses
dessin, drawing
christ, Christ
tiers, third
secrétaire, secretary
charme, charm
absolue, absolute
viande, meat
musée, museum
mélange, mixture
crâne, skull
intermédiaire, intermediate
tenue, holding
raconte, said
faculté, faculty
internationale, International
concernant, concerning
arts, Arts
aveugle, blind
ouvrages, works
habitants, people
saisir, seize
diable, devil
amie, girlfriend
retrouvé, found
réactions, reactions
usine, factory
retourner, return
fonctionnaires, officials
défaut, defect
trace, trace
rivière, river
responsabilité, responsibility
quai, dock
couple, couple
bibliothèque, library
donna, gave
posa, asked
mérite, merit
septembre, September
définitive, definitive
célèbre, famous
bleue, Blue
terrasse, terrace
phrases, phrases
allée, driveway
savent, know
joué, played
différente, different
différent, different
accepter, accept
mine, mine
fixé, fixed
dite, said
défendre, defend
toit, roof
maintenir, maintain
domaines, areas
réalisation, realization
fleur, flower
discussion, discussion
variations, variations
rendait, made
quelconque, any
prévu, planned
religieuse, religious
principal, main
observations, comments
montait, rose
continuait, continued
parfait, perfect
nombres, numbers
causes, causes
purement, purely
entraîne, results
uniquement, only
pouvez, can
intensité, intensity
créé, created
huile, oil
dieux, Gods
totalement, totally
empêche, prevents
auparavant, before
sacré, sacred
vol, flight
sois, am
bérenger, Berenger
jette, throws
retraite, retirement
rappeler, recall
minimum, minimum
jugement, judgment
adultes, adults
usines, plants
remarque, remark
proposition, proposal
pouvant, can
accès, access
rond, round
new, new
marches, steps
satisfaction, satisfaction
ministres, Ministers
courants, currents
révolte, revolt
notes, Notes
lieutenant, lieutenant
michel, michel
mars, March
directe, direct
allé, gone
faisais, did
saison, season
impose, imposes
humeur, mood
drame, drama
continuer, continue
noël, Christmas
malades, sick
suffisamment, enough
interdit, prohibited
peintre, painter
ouverture, opening
facteur, factor
exige, requires
disparaître, disappear
commencer, start
aimais, loved
permettant, to
branche, branch
vain, vain
profondeur, depth
qualités, qualifications
paysans, peasantry
troubles, disturbance
andré, andré
humaines, Human
vivants, living
choc, shock
protection, protection
langues, languages
xviiie, eighteenth
masses, masses
caractéristiques, characteristic
balle, ball
voisin, neighbor
queue, tail
entendit, heard
arme, weapon
vieil, old
candidats, candidates
semblaient, seemed
semblable, similar
intéressant, interesting
commença, began
silhouette, silhouette
obtenu, obtained
comptes, accounts
vides, empty
placé, placed
intéresse, interest
instruments, instruments
acier, steel
passent, pass
haine, hatred
essayé, tried
synthèse, synthesis
religieux, religious
recours, recourse
produire, produce
bourgeois, bourgeois
rayon, radius
obscurité, darkness
aise, ease
menton, chin
fermé, closed
secours, relief
publiques, public
postes, positions
particuliers, individuals
industries, industries
atomique, atomic
principaux, main
officier, officer
pareille, such
croyais, thought
accroissement, increase
particules, particles
grise, gray
reconnu, recognized
octobre, October
instruction, instruction
code, code
sueur, sweat
responsable, responsible
observer, observe
jeté, thrown
sexe, sex
