qué what
segundo second
tuve I
oportunidad opportunity
esté is
luz light
necesitamos need
seis six
incluso even
hagas do
verte see
esperando waiting
idiota idiot
cuarto fourth
estará will
algunas some
querido dear
señorita Ms.
ésta this
cuanto as
perdón forgiveness
estabas were
vivo live
john john
recuerdo memory
fueron were
carajo fuck
necesitas need
tenga have
película film
creer believe
falta lack
cielo sky
venido been
general general
oído ear
pequeña small
perro dog
rey king
esperar wait
pienso feed
lista list
calle street
fuego fire
además also
par pair
habrá will
exactamente exactly
pensando thinking
padres Parents
seguir follow
mucha much
marido husband
habría would
diré tell
afuera out
niña girl
podrías could
paso step
dio he
sentido sense
habitación room
café coffee
mía mine
digas say
música music
murió died
entiendes understand
lleva has
estuvo was
último last
bebé baby
libro book
nuestras our
piensa think
cállate shut up
arma weapon
ello it
jamás never
aqui here
diciendo saying
muchachos boys
grandes large
minuto minute
vuelve back
buscando looking
diez ten
vemos see
sitio site
gusto taste
única only
sabemos know
jack jack
viaje trip
jugar play
irme go
demás other
peor worse
orden order
mil thousand
ropa clothing
muchacho boy
dado given
ocurre occurs
cambio change
extraño strange
perdido lost
pasando from
oficina office
estaban were
presidente president
hará will
caballeros gentlemen
semanas weeks
conoces know
anoche last night
acá here
queremos we
libre free
especial special
sino but
negro black
derecho right
palabras words
millones million
modo mode
otras other
pobre poor
frente front
buscar search
piensas think
hacemos we
acerca about
segura safe
correcto correct
disculpe sorry
seas be
llamar call
armas arms
sucede happens
puesto post
boca mouth
atención attention
detrás back
duro hard
asunto issue
mala bad
demonios demons
encima above
odio hatred
seguridad security
york york
llevar lead
hospital hospital
deben be
llamo call
sueño dream
resto rest
tranquilo quiet
mire look
perfecto perfect
quieras want
perder lose
ayudar help
ése that
estaré I will
dile tell
tuvo had
pena penalty
increíble incredible
prueba test
largo long
probablemente probably
recuerdas remember
llamado called
cual which
veras really
quisiera would
ayer yesterday
plan plan
real real
siendo be
preguntas questions
haría would
haz beam
tonto fool
vámonos let's go
trato treatment
bonito nice
acaba just
fuerza force
aire air
hablas talk
verlo see
creí I thought
conoce known
hambre hunger
simplemente simply
vive lives
empezar start
carta letter
barco ship
campo field
frank frank
lamento lament
hotel hotel
baño bath
anda walk
tuyo yours
grupo group
vuelto turned
poner put
usar use
voz voice
quédate Stay
pase pass
joe joe
noticias news
sol sun
placer pleasure
pie foot
decirte tell
conseguir get
estuve I
blanco target
george george
espere wait
decirle tell
siéntate Sit
secreto secret
llegado come
podríamos could
recuerda recalls
compañía company
hermosa beautiful
tras after
siente feel
deberíamos should
profesor professor
médico doctor
vista view
negocio business
tren train
edad age
llegó did
loca crazy
silencio silence
gustan like
futuro future
pagar pay
novia bride
raro rare
prisa hurry
sal salt
viste dresses
control control
cambiar change
quiera want
imposible impossible
dan are
dejó left
amiga friend
enseguida immediately
haremos we
llamada call
error error
maldición curse
llevo took
diferente different
mes month
ejército army
ganar win
ley law
acabó ended
pelo hair
siguiente following
maestro teacher
propia own
vio was
tendrá will
oro gold
oficial official
encanta love
sientes feel
dolor pain
suena sounds
situación situation
estúpido stupid
permiso permission
avión plane
mitad half
comprar buy
muertos dead
acabo just
mente mind
próxima next
mejores Top
entendido understood
decía said
daño damage
mensaje message
siete seven
deseo desire
asesino murderer
darle give
maravilloso wonderful
trabajando working
mesa table
hacía was
ten ten
traje suit
caballo horse
coronel colonel
sexo sex
entra enters
divertido funny
pensaba thought
sam sam
ellas they
tom tom
david david
mar sea
información information
amable friendly
encontré found
adentro in
the the
dale dale
propio own
eras were
cena dinner
tendrás have
charlie charlie
alma soul
das give
abre opens
temo fear
gobierno government
fuiste you were
culo ass
canción song
dijeron said
media average
derecha right
funciona works
centro center
daré give
miren look
estaría would
encontrado found
foto photo
vayas go
frío cold
teniente lieutenant
izquierda left
san St.
accidente accident
vine I came
estábamos were
servicio service
terrible terrible
abogado lawyer
pude I
perra bitch
doy I
ante before
navidad Christmas
llamas flames
necesario necessary
bonita nice
junto together
línea line
sale out
normal normal
uds PC
dirección address
regresar return
tienda store
ocho eight
paul paul
pies feet
hablo Spoken
tendré I will
mató killed
papel paper
honor honor
juro I swear
caja box
michael michael
alrededor around
libertad freedom
dulce sweet
vosotros you
trae brings
tratando trying
hermoso beautiful
lindo cute
ésa that
gracioso funny
abuela grandmother
asi so
sentir feel
personal personal
tipos type
vienen are
interesante interesting
vieja old woman
dejado left
sean are
llega reaches
esposo husband
respuesta response
luna moon
cualquiera any
linda linda
cámara camera
horrible horrible
principio principle
tengas have
terminado completed
hubo was
hicieron did
cárcel prison
oír hear
agente agent
listos ready
tenías had
tendremos we
busca search
cita appointment
baja low
partes parts
hazlo do
tía aunt
pudo could
río river
piso floor
negocios business
sistema system
regalo gift
salvo except
sargento sergeant
salud health
completamente completely
totalmente completely
harry harry
carne meat
infierno hell
decirme tell me
tuya yours
carrera race
ambos both
cielos heaven
deje leave
beber drink
cumpleaños birthday
verás see
calma calm
cuántos how many
basura trash
abuelo grandfather
universidad university
través through
suelo soil
nena baby
programa program
vestido dress
verdadero true
triste sad
salió out
director director
santo holy
bob bob
iremos go
prometo promise
bailar dance
novio groom
corre runs
banco bank
iglesia church
rato time
diría would
alegro glad
cerveza beer
ocurrió occurred
supone is
delante before
órdenes orders
existe there
partido game
disculpa apology
broma joke
encuentra is
radio radio
sala room
cenar dine
pregunto wonder
diablo devil
creía believed
vuelva back
harás will do
destino destination
norte north
reina queen
muerta dead
baile dance
según by
jesús Jesus
excelente excellent
fotos photos
saberlo know
ataque attack
público public
volveré back
vienes come
trabaja works
duda doubt
ventana window
asesinato murder
querías wanted
obra work
sorpresa surprise
pensado thought
quise I wanted
mike mike
pudiera could
matrimonio marriage
pone puts
trasero back
peligro danger
ejemplo example
ojalá hopefully
club club
temprano early
mirando looking
escribir write
don gift
sur south
conocido known
estés you
bill bill
esperaba expected
porqué why
veré see
llamó called
escúchame listen
escena scene
boda wedding
terminar end
caliente hot
segunda second
creen believe
regreso return
parís Paris
veamos see
pruebas testing
llave key
ganas win
conocer know
apenas just
embargo embargo
enfermo ill
parecía seemed
ninguno none
imbécil fool
leer read
apuesto dashing
joder fuck
corte court
señal signal
sucedió did
libros books
irse go
segundos second
opinión opinion
encuentro meeting
cocina kitchen
veremos see
locura madness
aun even
relación relationship
viva living
seré will be
cartas letters
cerebro brain
simple simple
señores Messrs.
hermanos brethren
escuchar listen
comandante commander
prisión prison
peligroso dangerous
aquel that
agradable nice
cambiado changed
habían had
sueños dreams
entender understand
reunión meeting
dejes let
tendría would
mary mary
hicimos did
misión mission
cine cinema
londres London
jim jim
bar bar
unidos together
suyo his
pelea fight
vos you
duele hurts
ben ben
verme me
lee read
decisión decision
tocar touch
tome take
rico rich
hogar home
verla see
majestad majesty
trago drink
vuelvo back
pistola gun
toca touch
cargo charge
serán will
fantástico fantastic
mayoría most
éxito success
mirar look
peter peter
acaso perhaps
causa cause
vayan be
zapatos shoes
lleno full
humano human
irnos go
vidas lives
soldado soldier
interesa Interested
posición position
henry henry
fondo background
johnny johnny
montón pile
consejo council
estrella star
sabías know
ocupado busy
tema topic
estación station
sacar get
irá will
matado murdered
jóvenes young
contacto contact
bienvenido welcome
cierra closes
intento attempt
juez judge
enemigo enemy
zona area
edificio building
entiende understood
podrían could
soldados soldiers
jimmy jimmy
empieza begins
azul blue
pido I ask
departamento department
oiga hear
rojo red
calor heat
ojo eye
necesitan need
animales animals
vea see
espacio space
capaz able
color color
respeto respect
inglés English
verano summer
precio price
inteligente intelligent
valor value
damas ladies
caballero knight
estarás will be
llaman call
mantener maintain
hagan do
flores flowers
serás you will
finalmente finally
miles thousands
pedir ask
aprender learn
equivocado wrong
puso put
arte art
piernas legs
dejé left
ayudarte help
espalda back
llamaré call
luces lights
crimen crime
guardia guard
james james
alegra happy
hablamos talk
llevas wear
conocí I met
quedarme stay
darme me
vengan come
estuviera was
parar stop
esperen wait
estados states
diferencia difference
juicio trial
isla island
déjalo let
podido have
ama loves
teníamos had
dejaré let
formas forms
marcha march
déjeme let me
compañero companion
estupendo great
contar count
debajo below
molesta annoying
quedan are
ayúdame help me
llevó was
pareces look
acción action
salida output
despierta awake
dejo leave
viendo watching
sepa know
sube up
estilo style
come eat
darte give
cansado tired
habéis have
tenían had
tonterías rubbish
próximo next
golpe blow
respecto respect
puedas can
banda band
podrá can
mentira lie
nota note
ganado cattle
sigues follow
base base
brazo arm
tiempos time
salga out
volvió back
reglas rules
vuelo flight
hablado spoken
santa St.
drogas drugs
beso kiss
cálmate calm down
encontramos are
debía was
estaremos we
excepto except
desea like
viento wind
vendrá will
caballos horses
ruido noise
empezó started
tranquila quiet
quedar remain
experiencia experience
acabado finish
cuestión question
solía used
pidió asked
irte go
nueve nine
visita visit
olvidado Forgot
bolsa bag
casado married
metros meters
exacto exact
alta high
llevaré take
abrir open
perros Dogs
ios ios
copa cup
llegue get
vacaciones vacation
bomba pump
pan bread
usa used
espíritu spirit
esperanza hope
doble double
menudo often
nick nick
hacerte make
jugando playing
sirve serves
blanca white
cabrón bastard
escapar escape
larga long
prefiero I prefer
perdí lost
piel skin
perdona sorry
billy billy
tony tony
salvar save
partir from
investigación research
máquina machine
culpable guilty
nave nave
tuviera had
películas movies
taxi taxi
subir upload
escrito written
decirlo say
eddie eddie
tardes afternoon
energía energy
cuello neck
bosque forest
brazos arms
perdone forgive
especie species
viejos old
bromeando kidding
preocupe worry
verá will
preocupa concerned
leche milk
modos modes
volverá back
suya his
traído brought
quiénes who
tanta so
llena full
común common
repente suddenly
inmediatamente immediately
vengo come
escuche listen
debido due
dama lady
correr run
depende depends
regresa back
dieron given
olvídalo Forget
entrada entry
informe report
volar fly
ridículo ridiculous
principal main
probar test
encontró found
acabar end
podamos we
encantado delighted
muere dies
propósito purpose
cliente customer
aquella that
príncipe prince
salido left
princesa princess
intenta try
árbol tree
max max
traer bring
cerdo pig
belleza beauty
solamente only
últimos last
steve steve
llame call
planeta planet
sigo I
dejas let
parecen seem
tratar treat
habías 'd
llaves keys
reloj watch
tiro shot
hayas have
preparado prepared
oeste west
quedarse stay
caminar walk
confiar trust
ayudarme help
defensa defense
cuántas many
oyes hear
pedido order
tuvimos had
fuimos we
absoluto absolute
inglaterra England
héroe hero
nuevos new
papi Daddy
apartamento apartment
hacerle give
hable talk
pelear fight
felices happy
teatro theater
batalla battle
deberían should
detective detective
hielo ice
asuntos issues
camión truck
humanos human
ray ray
cabo out
américa America
vistazo look
bajar lower
vuestra your
dientes teeth
paga pay
estuviste you were
deprisa fast
ministro minister
verde green
vayamos go
maría Mary
hacerme me
pista track
interior interior
pasará will
vender sell
mírame Look at me
lástima shame
gato cat
brillante bright
terminó ended
cantar sing
nervioso nervous
autobús bus
francia France
dígame tell me
cayó fell
política policy
época time
herido wounded
evitar avoid
naturaleza nature
nariz nose
bella beauty
locos crazy
intentando trying
haberlo have
siéntese sit
caer fall
completo full
borracho drunk
dando giving
sombrero hat
llorar mourn
fuerzas forces
estrellas stars
despacio slowly
llegamos we
estudio study
ideas Ideas
nivel level
planes plans
cuentas accounts
bienvenida welcome
nombres names
pareja couple
justicia justice
vergüenza shame
memoria memory
vuestro your
levántate Arise
pantalones pants
millón million
charles charles
solos alone
preciosa beautiful
refiero mean
ponte please
sonido sound
seguramente surely
lucha fight
inocente innocent
permite allows
enorme enormous
gana wins
animal animal
decidido decided
pierna leg
bebe baby
quedó was
parecer seem
extraña strange
recordar remember
diferentes different
pared wall
motivo reason
sociedad society
mando command
quienes who
roma Rome
alex alex
estén are
huevos eggs
oigan hear
robert robert
hubiese had
puente bridge
enamorado in love
enferma ill
absolutamente absolutely
cuesta slope
papa potato
sentado sitting
cabello hair
mismos same
necesitaba needed
coño pussy
silla chair
podrás you
pequeños small
trampa trap
prensa press
pesar Despite
noticia news
corriendo running
botella bottle
tomó took
cuento story
televisión TV
espada sword
movimiento movement
tomado taken
date date
confianza confidence
bobby bobby
danny danny
detente stop
luchar fight
acuerdas Remember
policías police
contrario contrary
comprendo understand
presente present
siga follow
estáis you are
gay gay
sois you are
monstruo monster
casas homes
restaurante restaurant
puertas doors
jardín garden
negros black
asiento seat
periódico newspaper
tarjeta card
encantaría love
grave serious
anillo ring
estarán will
dará will
debí I should
victoria victory
tommy tommy
sentí I felt
felicidad happiness
total total
alguno one
quedarte stay
pon put
lleve take
playa beach
tengan have
podré I can
velocidad speed
maravillosa wonderful
proyecto project
negra black
lugares places
perdió lost
mata kills
piedra stone
tonta silly
intentar try
clientes customers
espectáculo show
tuviste you had
inspector inspector
contrato contract
llevan are
paseo ride
richard richard
quede be
rayos ray
aquellos those
hagamos do
costa coast
dejen leave
malas bad
washington Washington
responsable responsible
amas love
hechos acts
tantos many
bastardo bastard
creerlo believe
gustaba like
arreglar fix
estan are
pasada pass
domingo Sunday
sentimientos feelings
imagen image
refieres mean
gustó like
contento happy
especialmente especially
malditos damn
operación operation
abierto open
historias stories
viernes Friday
diario daily
mark mark
muchacha girl
dormido asleep
cuchillo knife
ponga put
oscuridad darkness
show show
red network
dedos fingers
mami Mommy
aspecto appearance
querer want
escuché I heard
primo cousin
nuevas new
objetivo target
turno turn
clases classes
ibas going
olvides forget
agradezco thank you
nacional national
llegué I
pedí asked
gracia grace
tantas so
trajo brought
enfermedad disease
sarah sarah
haberte haberte
testigo witness
orgulloso proud
deber duty
preocupado concerned
central central
harán will
cien hundred
puse put
you you
pago payment
yendo going
supe I knew
irás go
pocos few
éramos were
francés French
militar military
quedo stay
preguntar ask
verdadera true
podremos we
ladrón thief
americano American
bienvenidos welcome
dueño owner
ayude help
ángeles Angels
alemanes German
quiso would
montaña mountain
china china
www www
dura hard
mataron killed
natural natural
ocurrido occurred
llevaba was
lengua language
inútil useless
estúpida stupid
sir sir
cansada tired
calles streets
llamaba called
colegio school
descansar rest
tomas take
olvidé forgot
guapa beautiful
escuchen listen
sentía was
quieto still
mercado market
tomando taking
voluntad will
inmediato immediate
digamos say
momentos moments
mirada look
jane jane
martin martin
humor humor
jerry jerry
emergencia emergency
conocía knew
and and
paciente patient
echar cast
dejaste left
llámame call me
roto broken
entero integer
polvo dust
humana human
señoría lordship
lluvia rain
pareció seemed
robar steal
varios several
ahi there
walter walter
cerrar close
embarazada pregnant
hables talk
ángel angel
código code
puto fucking
dave dave
saca out
toques touch
actuar act
muestra sample
aceptar accept
desastre disaster
gordo fat
coger take
resulta result
valiente brave
distancia distance
perfecta perfect
carga load
roja red
papeles papers
cinta tape
acto act
amante lover
habló spoke
dedo finger
parque park
matarme kill
uso use
peso weight
europa Europe
lados sides
rosa pink
muevas move
talento talent
oscuro dark
huele smells
toque touch
hablé I spoke
mataré kill
cuidar care
coge take
disparar shoot
tumba grave
puntos points
sóio Soio
siguen are
conocerte meet
viviendo living
anna anna
bote boat
gloria glory
verle see
descanso rest
metido put
posibilidad possibility
perdóname sorry
cambia changes
sheriff sheriff
larry larry
tendrán will
jake jake
área area
nosotras we
comenzar start
saliendo out
limpio clean
dejarlo leave
genio genius
olvidar forget
casarse marry
intención intention
termina ends
oigo I hear
famoso famous
debió had
perfectamente perfectly
directo direct
niñas girls
tribunal court
california California
empleo employment
saldrá will
definitivamente definitely
profesional professional
muévete Move
diste gave
duerme sleep
robo theft
demonio demon
imagino imagine
vuelvas back
aeropuerto airport
sábado Saturday
guapo handsome
continuar continue
opción option
bravo brave
señoras ladies
hubieras 'd
ruego request
recibir receive
presión pressure
oíste heard
pasé I spent
pide calls
menor less
cerrado closed
veía see
gratis free
llevará will
thomas thomas
empresa company
precioso beautiful
querría would
varias more
chris chris
cae falls
carretera road
socorro relief
quedado left
comenzó started
fortuna fortune
busco Seeking
pollo chicken
lago lake
jodido fucking
salgan out
tenéis you have
abierta open
riesgo risk
whisky whiskey
pongo get
pobres poor
comienzo beginning
efecto effect
andy andy
encuentras find
carro car
unidad unit
idiotas Idiots
detalles Details
líder leader
sucio dirty
jurado jury
alemán German
recibido received
llevamos we
presento present
medicina medicine
continúa continues
envió sent
marca mark
hablan speak
conversación conversation
fútbol football
desayuno breakfast
bala bullet
castillo castle
tesoro treasure
conducir lead
rostro face
pedazo piece
andar walk
nieve snow
oficiales official
fueras you were
local local
encontraron found
familiar family
lunes Monday
desgraciado unfortunate
conocemos know
piensan think
camisa shirt
cola tail
enemigos enemies
hiciera do
abrigo coat
propiedad property
pones put
hablemos talk
chicago chicago
fumar smoke
olor odor
responsabilidad responsibility
parecido like
malos ill
teniendo taking
entró entered
interés interest
elección choice
lárgate get out
kilómetros km
merece deserves
víctima victim
mueve moves
tomé I took
maté killed
fría cold
durmiendo sleeping
fantasma ghost
alcalde mayor
razones reasons
llamé I called
querían wanted
entrenador coach
pastel cake
escuchando listening
oferta offer
viniste came
comienza begins
compañeros peers
pertenece belongs
tormenta storm
hayan have
grandioso grand
mapa map
dia day
apoyo support
seguros Insurance
débil weak
cobarde coward
llevado been
agujero hole
importantes important
hablaba spoke
granja farm
barrio neighborhood
salón lounge
bordo board
llamando calling
ias ias
escribió wrote
créeme believe me
techo roof
fuese was
blancos whites
iban iban
premio prize
laboratorio laboratory
tercera third
socio partner
explicar explain
vieron were
libras pounds
derechos rights
asustado frightened
privado private
mundial world
resultado result
cantidad amount
profundo deep
caray wow
habido been
obviamente obviously
combate combat
alegría joy
árboles trees
americanos American
muchísimo lot
últimamente lately
conocen know
tomaré I will take
recién just
relaciones relations
tercer third
desierto desert
doc doc
tambien also
invitado guest
leo leo
secretos secrets
corriente current
conseguido achieved
plata silver
necesidad need
gas gas
william william
will will
llegará will
importancia importance
directamente directly
pescado fish
íbamos we
juegos games
haberme me
pecho chest
esquina corner
quedas stay
sensación feeling
aseguro assure
vives live
leído read
pelota ball
modelo model
andando walk
robado stolen
kate kate
des des
campeón champion
entera whole
invierno winter
tomo volume
mentiras lie
dirá tell
obtener get
quedará be
sepas know
usando using
mataste killed
artista artist
almuerzo lunch
fábrica factory
corta cutting
smith smith
pete pete
escenario stage
primeros first
fbi fbi
guste like
vimos we saw
muévanse get moving
preguntaba asked
cura cure
dígale tell
rock rock
sabido learned
madame Madame
sienta feel
quítate take off
viven live
dejan leave
olvida forget
recuerdos memories
alemania Germany
disculpas apologies
ciego blind
esperamos hope
correo mail
puedan can
actor actor
chocolate chocolate
presencia presence
serie series
veinte twenty
desapareció disappeared
lord lord
disculpen sorry
perdiendo losing
harías would
corto short
enfermera nurse
violencia violence
montañas mountains
romper break
tamaño size
esperas expect
desaparecido missing
autos cars
dei dei
reino kingdom
levanta up
tenia tapeworm
termine end
gira tour
llego I get
trabajas work
daría would
pasan pass
discutir discuss
fuertes Strong
labios lips
suficientemente enough
fué was
condiciones terms
vivos living
cuerpos bodies
intentarlo try
regrese back
mama breast
parado stationary
elegir choose
huellas traces
poquito little
míos mine
mato mato
virgen virgin
compré I bought
contó was
queso cheese
vaso glass
campamento camp
den give
casada married
herida wound
frontera border
judíos Jews
seria serious
disco disk
manejar handle
acabas just
firma firm
teoría theory
quedaré stay
salvaje wild
siglo century
piloto pilot
escuchado heard
universo universe
extra extra
suéltame let go
felicitaciones congratulations
pudiste you could
solas alone
vacío empty
leyes laws
relájate relax
propios own
truco trick
sujeto subject
cigarrillo cigarette
vivía lived
droga drug
tira strip
limpiar clean
dispuesto ready
milagro miracle
gobernador governor
helado ice
crear create
mentiroso liar
decirles tell
firme firm
apúrate hurry up
cadáver body
pequeñas small
cientos hundreds
antiguo old
curso course
comido eaten
dioses Gods
déjenme let me
estómago stomach
pondré I will
pregunté asked
escucho listen
sobrevivir survive
sigan continue
dudo I doubt
esperan expected
superior top
ricos rich
emperador emperor
ayudarle help
respirar breathe
traigo bring
carl carl
felicidades congrats
social social
cierta some
material material
mires look
números numbers
motor motor
escribe write
encontraste found
hablaremos talk
centavos cents
casarme marry
encantador charming
torre tower
intenté I tried
primavera spring
paciencia patience
invitados guests
vean see
miembro member
efectivo cash
confía trusts
magia magic
estudiar study
disparo shot
lío mess
proceso process
trabajaba worked
consigue get
poniendo putting
conseguí I got
discurso speech
destruir destroy
proteger protect
llegaron arrived
discúlpeme excuse me
limpia clean
miembros members
cheque check
sopa soup
juega plays
miras view
sexual sexual
alcohol alcohol
ciencia science
seguimos we
rápidamente quickly
piense think
balas bullets
pájaro bird
volviendo back
funeral funeral
bola ball
pura pure
cristo Christ
taza cup
aquello that
caído fallen
averiguar find out
tarea task
marina marine
compras shopping
asesinado murdered
viajar travel
quedamos were
hablaré speak
palacio palace
sencillo simple
sospechoso suspect
podías could
examen review
evidencia evidence
recoger collect
encantadora lovely
orgullo pride
monsieur M.
llorando in tears
llevaron led
millas miles
huir escape
revista magazine
mono monkey
canciones Songs
cortar cut
construir build
enviado envoy
adonde where
detener stop
madera wood
casos cases
crea creates
educación education
sexy sexy
abran open
criminal criminal
uniforme uniform
intentado tried
personalmente personally
habíamos we
caminando walking
amistad friendship
judío Jewish
cero zero
lobo wolf
enamorada love
acciones actions
brian brian
pecado sin
notas notes
despues after
fuente source
enviar send
bebida drink
empezamos started
aléjate stay away
ritmo rate
falso false
tropas troops
cerrada closed
periódicos newspapers
original original
louis louis
pensamos we
fiscal fiscal
gustas like you
normalmente normally
testigos witnesses
aviones aircraft
suave soft
camioneta van
mintiendo lying
volví I returned
consigo with him
libres free
iguales equal
sonrisa smile
desgracia misfortune
pensó thought
amenaza threat
matarte kill
rose rose
mio mine
dejarme me
contado Spot
bolsillo pocket
lección lesson
dejaron left
bestia beast
cuida care
new new
declaración statement
saco bag
protección protection
cadena chain
casar marry
ocasión time
dejamos we
solución solution
pintura painting
vueltas turns
conde count
jones jones
inteligencia intelligence
estudiante student
roger roger
video video
espejo mirror
indios Indians
médicos medical
regla rule
aparte apart
vernos see us
venía coming
muriendo dying
excelencia excellence
venganza revenge
hollywood hollywood
aburrido boring
decírselo tell
pez fish
amar love
dímelo tell me
camarada comrade
váyase go away
daba was
seremos we
pierde lost
artículo article
gritar shout
lucy lucy
fred fred
salgamos get out
conciencia awareness
hacerse get
empecé I started
murieron died
abra open
encontraremos find
cuerda rope
kevin kevin
oso bear
maravilla wonder
criatura creature
estudiantes students
cruel cruel
queréis want
jeff jeff
aparece appears
amigas friends
leí read
arthur arthur
nerviosa nervous
pérdida loss
compra purchase
pongas put
simon simon
cruz cross
llamadas Call
familias families
rara rare
guardias guards
recuperar recover
matarlo kill
joey joey
apuesta bet
francisco francisco
pare stop
chaqueta jacket
azúcar sugar
doce twelve
senador senator
alice alice
comisario commissary
alteza Highness
amén amen
pasamos we
diles tell
cumplir comply
guarda guard
dilo say it
sabrá know
esfuerzo effort
enojado angry
vinieron came
feo ugly
consiguió got
agentes agents
claire claire
curioso curious
muero dying
vecinos neighbors
diversión fun
india India
julie julie
humanidad humanity
legal legal
temporada season
supiera know
vengas come
vuelves back
cuantos few
traeré bring
pesadilla nightmare
miel honey
asesinos murderers
antigua old
robó stole
huesos bones
preguntó asked
amaba loved
salimos we
volveremos back
tontería foolishness
harto fed up
arena sand
canal channel
tuvieron had
comunidad community
roy roy
helen helen
iría would
muera dies
pocas few
pedirle ask
contenta happy
llegas get
scott scott
venta sale
honesto honest
meter put
texas Texas
cuídate beware
podéis you can
quedé I was
volvamos back
annie annie
howard howard
ted ted
convertido converted
muñeca wrist
funcionar function
licencia license
planta plant
